lot,address,city,state,zip,parcel,phase,latitude,longitude
60,3057 BENTWOOD TREE CV,Collierville,TN,38017,C0232B E00014,PH 3,35.065062,-89.728763
61,3058 BENTWOOD RUN DR,Collierville,TN,38017,C0232B E00015,PH 3,35.065132,-89.728119
62,3068 BENTWOOD RUN DR,Collierville,TN,38017,C0232B E00016,PH 3,35.064835,-89.728123
63,3078 BENTWOOD RUN DR,Collierville,TN,38017,C0232B E00017,PH 3,35.064533,-89.728126
64,3088 BENTWOOD RUN DR,Collierville,TN,38017,C0232B E00018,PH 3,35.064231,-89.728126
65,3098 BENTWOOD RUN DR,Collierville,TN,38017,C0232B E00019,PH 3,35.063929,-89.728126
66,3110 BENTWOOD RUN DR,Collierville,TN,38017,C0232B E00020,PH 3,35.063627,-89.728127
67,3122 BENTWOOD RUN DR,Collierville,TN,38017,C0232B E00021,PH 3,35.063389,-89.728123
68,9932 WHITTMORE PARK LN,Collierville,TN,38017,C0232B F00001,PH 4,35.063199,-89.731365
69,9948 WHITTMORE PARK LN,Collierville,TN,38017,C0232B F00002,PH 4,35.063175,-89.730916
70,9960 WHITTMORE PARK LN,Collierville,TN,38017,C0232B F00003,PH 4,35.063167,-89.730495
71,9974 WHITTMORE PARK LN,Collierville,TN,38017,C0232B F00004,PH 4,35.063158,-89.730068
72,9986 WHITTMORE PARK LN,Collierville,TN,38017,C0232B F00005,PH 4,35.063150,-89.729633
73,10000 WHITTMORE PARK LN,Collierville,TN,38017,C0232B F00006,PH 4,35.063141,-89.729199
74,10014 WHITTMORE PARK LN,Collierville,TN,38017,C0232B F00007,PH 4,35.063138,-89.728755
75,3136 BENTWOOD RUN,Collierville,TN,38017,C0232B F00008,PH 4,35.063058,-89.728169
